  -0.928795062E-05  -0.418839520E-05   0.333780068E-05   0.760911340E-05   0.411075785E-05  -0.745805390E-06  -0.297127952E-05
  -0.939055303E-05  -0.419246907E-05   0.356431739E-05   0.800976175E-05   0.441580457E-05  -0.770032219E-06  -0.328612972E-05
  -0.949363850E-05  -0.419569299E-05   0.379137695E-05   0.840879304E-05   0.471732607E-05  -0.796189664E-06  -0.359834905E-05
  -0.959709324E-05  -0.419804227E-05   0.401880961E-05   0.880588281E-05   0.501507814E-05  -0.824235366E-06  -0.390770389E-05
  -0.970080022E-05  -0.419949282E-05   0.424644252E-05   0.920070529E-05   0.530882023E-05  -0.854124218E-06  -0.421396517E-05
  -0.980463924E-05  -0.420002114E-05   0.447409983E-05   0.959293378E-05   0.559831575E-05  -0.885808497E-06  -0.451690868E-05
  -0.990848703E-05  -0.419960438E-05   0.470160292E-05   0.998224095E-05   0.588333234E-05  -0.919238004E-06  -0.481631532E-05
  -0.100122174E-04  -0.419822034E-05   0.492877045E-05   0.103682992E-04   0.616364218E-05  -0.954360209E-06  -0.511197137E-05
  -0.101157012E-04  -0.419584753E-05   0.515541859E-05   0.107507812E-04   0.643902220E-05  -0.991120402E-06  -0.540366875E-05
  -0.102188067E-04  -0.419246519E-05   0.538136114E-05   0.111293598E-04   0.670925435E-05  -0.102946184E-05  -0.569120528E-05
  -0.103213995E-04  -0.418805332E-05   0.560640971E-05   0.115037088E-04   0.697412588E-05  -0.106932591E-05  -0.597438485E-05
  -0.104233428E-04  -0.418259272E-05   0.583037389E-05   0.118735035E-04   0.723342952E-05  -0.111065228E-05  -0.625301771E-05
  -0.105244971E-04  -0.417606502E-05   0.605306139E-05   0.122384203E-04   0.748696379E-05  -0.115337904E-05  -0.652692062E-05
